Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",20423,4026
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",40128,9298
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",20327,8072
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",47788,8536
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",64004,25547
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",64137,15020
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",61570,18067
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",58750,57313
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",67011,21002
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",120083,40192
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",91875,25433
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",96750,25261
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",120000,27896
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",101991,21214
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",69712,14755
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",60792,13869
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",62917,22173
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",80625,14046
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",50398,15706
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",60000,11675
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",66568,10278
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",81285,13414
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",106101,19463
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",75441,41874
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",60463,20707
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",50192,7963
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",100139,25805
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",75188,14903
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",76912,23338
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",74931,23849
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",88438,22358
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",108487,12939
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",70341,16071
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",86736,11736
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",82167,60114
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",117150,22911
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",160089,78532
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",156250,28294
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",125714,23172
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",79408,34232
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",98600,22076
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",113482,14064
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",95735,17156
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",80833,24850
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",126131,18218
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",81855,20230
