location,neighborhood_short,neigbhorhood_long,council_district,zipcode,urban_village,geographical_area,latitude,longitude
530330024003,Wedgwood,NO BROADER TERM,SCC4,98115,None,Seattle,-122.29266000000001,47.68633
530330025001,Ravenna,NO BROADER TERM,SCC4,98115,None,Seattle,-122.30147,47.68651
530330025002,Ravenna,NO BROADER TERM,SCC4,98115,None,Seattle,-122.30366000000001,47.67941
530330026001,Roosevelt,NO BROADER TERM,SCC4,98115,None,Seattle,-122.30949,47.68759
530330026002,Ravenna,NO BROADER TERM,SCC4,98115,None,Seattle,-122.31151000000001,47.681779999999996
530330026003,Roosevelt,NO BROADER TERM,SCC4,98115,Roosevelt,Seattle,-122.31200000000001,47.677620000000005
530330026004,Roosevelt,NO BROADER TERM,SCC4,98115,None,Seattle,-122.31471,47.686040000000006
530330027001,Roosevelt,NO BROADER TERM,SCC4,98115,None,Seattle,-122.32065,47.687090000000005
530330027002,Green Lake,NO BROADER TERM,SCC6,98115,None,Seattle,-122.32789,47.68671
530330027003,Green Lake,NO BROADER TERM,SCC6,98103,None,Seattle,-122.33448999999999,47.687129999999996
530330027004,Green Lake,NO BROADER TERM,SCC6,98103,None,Seattle,-122.34151000000001,47.68667
530330028001,Greenwood,NO BROADER TERM,SCC6,98103,None,Seattle,-122.3499,47.68548
530330028002,Phinney Ridge,NO BROADER TERM,SCC6,98103,None,Seattle,-122.34986,47.68291
530330028003,Phinney Ridge,NO BROADER TERM,SCC6,98103,None,Seattle,-122.35003,47.68073
530330028004,Greenwood,NO BROADER TERM,SCC6,98103,None,Seattle,-122.34991000000001,47.688759999999995
530330029001,Greenwood,NO BROADER TERM,SCC6,98117,None,Seattle,-122.3604,47.68858
530330029002,Phinney Ridge,NO BROADER TERM,SCC6,98117,None,Seattle,-122.35835,47.68266
530330029003,Greenwood,NO BROADER TERM,SCC6,98117,None,Seattle,-122.36352,47.68354
530330030001,Whittier Heights,BALLARD,SCC6,98117,None,Seattle,-122.36818999999998,47.6851
530330030002,Whittier Heights,BALLARD,SCC6,98117,Crown Hill,Seattle,-122.37629,47.68875
530330030003,Whittier Heights,BALLARD,SCC6,98117,None,Seattle,-122.3736,47.68323
530330030004,Loyal Heights,BALLARD,SCC6,98117,None,Seattle,-122.37943999999999,47.68323
530330031001,Loyal Heights,BALLARD,SCC6,98117,None,Seattle,-122.38543999999999,47.68778
530330031002,Loyal Heights,BALLARD,SCC6,98117,None,Seattle,-122.39125,47.68659
530330031003,Loyal Heights,BALLARD,SCC6,98117,None,Seattle,-122.38545,47.68228
530330031004,Sunset Hill,BALLARD,SCC6,98117,None,Seattle,-122.39506000000002,47.68123
530330031005,Sunset Hill,BALLARD,SCC6,98117,None,Seattle,-122.39998,47.68772
530330032001,Loyal Heights,BALLARD,SCC6,98117,None,Seattle,-122.39026000000001,47.67737
