SERIALNO,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
144613,186405.43092362443,2,123,0,Over 60,0,0,0
144844,200228.75501458984,2,125,0,Over 60,0,0,0
145684,271858.70712231967,1,118,0,Over 60,0,0,0
145964,3979.441783762769,1,67,67,Under 60,67,67,67
146202,191955.70499045146,3,123,0,Over 60,0,0,0
146510,546649.6345063592,2,153,0,Over 60,0,0,0
148223,100952.15472492919,2,68,0,Over 60,0,0,0
148576,49743.02229703461,1,128,128,Over 60,0,0,0
150104,188971.12365262938,2,106,0,Over 60,0,0,0
150118,53513.01977638881,1,49,49,Over 60,0,0,0
151252,141374.90547578258,1,88,0,Over 60,0,0,0
151444,85872.16480751238,1,142,0,Over 60,0,0,0
152332,250181.221616033,4,147,0,Over 60,0,0,0
153148,3141.6645661285015,1,118,118,Under 60,118,118,118
153478,92469.66039638223,4,65,0,Over 60,0,0,0
153573,28913.786223602645,1,208,208,Under 60,208,208,0
153619,115194.36742471173,4,132,0,Over 60,0,0,0
153764,85662.7205031038,5,72,72,Over 60,0,0,0
153855,81788.00087154533,2,132,0,Over 60,0,0,0
156150,178027.65874728176,2,95,0,Over 60,0,0,0
156560,36652.75327149918,1,76,76,Under 60,76,0,0
156737,36757.475423703465,1,179,179,Under 60,179,0,0
158523,136138.7978655684,2,128,0,Over 60,0,0,0
158870,70373.28628127843,4,74,74,Over 60,0,0,0
158993,123362.69529664583,2,49,0,Over 60,0,0,0
159185,94249.93698385505,1,141,0,Over 60,0,0,0
159565,97496.32370218783,2,85,0,Over 60,0,0,0
159708,158130.4498284679,2,193,0,Over 60,0,0,0
162673,196877.64614405276,2,63,0,Over 60,0,0,0
164378,47124.968491927524,1,44,44,Over 60,0,0,0
165050,82803.80574792686,1,128,0,Over 60,0,0,0
165204,505284.38438566733,4,65,0,Over 60,0,0,0
165458,72258.28502095553,2,75,0,Over 60,0,0,0
165569,46077.74696988469,1,150,150,Over 60,0,0,0
165800,92155.49393976938,2,139,0,Over 60,0,0,0
166768,50057.18875364746,1,156,156,Over 60,0,0,0
167665,408416.3935967052,2,107,0,Over 60,0,0,0
167727,106816.59524836905,4,142,0,Over 60,0,0,0
167945,135091.57634352558,1,75,0,Over 60,0,0,0
169070,74352.7280650412,1,292,0,Over 60,0,0,0
169438,267041.48812092264,3,117,0,Over 60,0,0,0
169818,97496.32370218783,3,124,0,Over 60,0,0,0
170097,206721.5284512554,4,141,0,Over 60,0,0,0
171202,96867.99078896212,5,73,0,Over 60,0,0,0
171240,5026.663305805602,3,68,68,Under 60,68,68,68
171630,16022.489287255357,1,116,116,Under 60,116,116,116
172498,136243.52001777268,1,154,0,Over 60,0,0,0
172770,50266.633058056024,1,160,160,Over 60,0,0,0
173681,37878.0024522893,1,113,113,Under 60,113,0,0
174244,167974.33213567056,3,52,0,Over 60,0,0,0
174510,53439.71426984581,1,106,106,Over 60,0,0,0
175290,295316.46921607916,1,106,0,Over 60,0,0,0
175389,160224.89287255358,1,143,0,Over 60,0,0,0
176052,115194.36742471173,3,61,0,Over 60,0,0,0
177231,20839.708288652393,1,53,53,Under 60,53,53,53
177755,129855.4687333114,6,78,0,Over 60,0,0,0
178098,16336.655743868208,1,110,110,Under 60,110,110,110
178990,50476.077362464595,2,153,153,Over 60,0,0,0
179529,94396.54799694105,1,211,0,Over 60,0,0,0
182030,238766.50702576613,2,142,0,Over 60,0,0,0
182127,505807.9951466888,2,108,0,Over 60,0,0,0
183067,507902.4381907744,3,110,0,Over 60,0,0,0
186618,15813.044982846792,1,666,666,Under 60,666,666,666
187442,397462.45647613716,2,69,0,Over 60,0,0,0
