Block_Group,Population,Year
530330098008,661,2000
530330099001,1015,2000
530330099002,1339,2000
530330099003,1212,2000
530330099004,772,2000
530330100001,824,2000
530330100002,1130,2000
530330100003,1477,2000
530330100004,1539,2000
530330100005,757,2000
530330100006,1087,2000
530330100007,1325,2000
530330101001,523,2000
530330101002,657,2000
530330101003,1037,2000
530330101004,1259,2000
530330101005,716,2000
530330101006,1116,2000
530330101007,635,2000
530330102001,683,2000
530330102002,876,2000
530330102003,1309,2000
530330102004,513,2000
530330102005,579,2000
530330102006,910,2000
530330103001,1020,2000
530330103002,1346,2000
530330103003,1075,2000
530330103004,1220,2000
530330103005,1517,2000
530330104001,1286,2000
530330104002,1447,2000
530330104003,1425,2000
530330104004,1197,2000
530330104005,439,2000
530330104006,699,2000
530330104007,1321,2000
530330104008,1188,2000
530330105001,666,2000
530330105002,955,2000
530330105003,761,2000
530330105004,621,2000
530330105005,986,2000
530330105006,1492,2000
530330106001,667,2000
530330106002,694,2000
530330106003,1499,2000
530330106004,893,2000
530330106005,1445,2000
530330106006,906,2000
530330106007,971,2000
530330107001,2006,2000
530330107002,1187,2000
530330107003,624,2000
530330107004,555,2000
530330107005,1132,2000
530330107006,636,2000
530330108001,1324,2000
530330108002,2198,2000
530330108003,796,2000
530330109001,675,2000
530330109002,506,2000
530330110001,1567,2000
530330110002,1314,2000
530330110003,939,2000
530330110004,1098,2000
530330110005,1342,2000
530330111011,1098,2000
530330111012,836,2000
530330111013,1039,2000
530330111014,786,2000
530330111015,801,2000
530330111021,819,2000
530330111022,781,2000
530330111023,1057,2000
530330111024,766,2000
530330111025,937,2000
530330112001,1238,2000
530330112002,746,2000
530330112003,1733,2000
530330113001,2210,2000
530330113002,723,2000
530330113003,908,2000
530330113004,986,2000
530330113005,1148,2000
530330114001,2104,2000
530330114002,1895,2000
530330114003,1711,2000
530330114004,856,2000
530330114005,1338,2000
530330115001,702,2000
530330115002,611,2000
530330115003,839,2000
530330115004,653,2000
530330115005,514,2000
530330115006,854,2000
530330116001,1023,2000
530330116002,665,2000
530330116003,1179,2000
530330116004,950,2000
530330116005,825,2000
530330116006,1469,2000
530330117001,1503,2000
530330117002,1414,2000
530330117003,1321,2000
530330117004,954,2000
530330118001,1100,2000
530330118002,864,2000
530330118003,1093,2000
530330118004,1479,2000
530330118005,1256,2000
530330118006,1705,2000
530330119001,587,2000
530330119002,1715,2000
530330119003,1239,2000
530330119004,1436,2000
530330119005,1441,2000
530330119006,743,2000
530330120001,770,2000
530330120002,691,2000
530330120003,475,2000
530330120004,657,2000
530330120005,808,2000
530330121001,1178,2000
530330121002,575,2000
530330121003,992,2000
530330201001,1581,2000
530330201002,761,2000
530330201003,893,2000
530330202001,1241,2000
530330202002,1271,2000
530330202003,945,2000
530330202004,1049,2000
530330202005,1118,2000
530330203001,1664,2000
530330203002,1220,2000
530330203003,676,2000
530330203004,797,2000
530330203005,1724,2000
530330204011,1363,2000
530330204012,692,2000
530330204013,816,2000
530330204014,673,2000
530330204021,1409,2000
530330204022,1100,2000
530330204023,732,2000
530330204024,1015,2000
530330204025,1246,2000
530330205001,1361,2000
530330205002,631,2000
530330205003,726,2000
530330205004,1010,2000
530330205005,860,2000
530330205006,818,2000
530330205007,920,2000
530330206001,888,2000
530330206002,1072,2000
530330206003,842,2000
530330206004,832,2000
530330207001,747,2000
530330207002,763,2000
530330207003,573,2000
530330207004,608,2000
530330207005,611,2000
530330208001,619,2000
530330208002,1052,2000
530330208003,1388,2000
530330208004,1442,2000
530330209001,1459,2000
530330209002,1008,2000
530330209003,700,2000
530330210001,1105,2000
530330210002,1047,2000
530330210003,1365,2000
530330210004,853,2000
530330210005,1329,2000
530330211001,626,2000
530330211002,959,2000
530330211003,824,2000
530330211004,848,2000
530330211005,778,2000
530330211006,19,2000
530330213001,1676,2000
530330213002,992,2000
530330213003,668,2000
530330213004,836,2000
530330214001,1023,2000
530330214002,1592,2000
530330214003,1200,2000
530330215001,1064,2000
530330215002,1002,2000
530330215003,1465,2000
530330215004,869,2000
530330216001,1435,2000
530330216002,838,2000
530330216003,1379,2000
530330216004,1074,2000
530330217001,1070,2000
530330217002,1462,2000
530330217003,808,2000
530330217004,1912,2000
530330218021,1183,2000
530330218022,1762,2000
530330218023,1160,2000
530330218031,1512,2000
530330218032,831,2000
530330218033,852,2000
530330218034,955,2000
530330218041,1738,2000
530330218042,1419,2000
530330218043,1069,2000
530330219031,2586,2000
530330219032,1113,2000
530330219033,716,2000
530330219034,703,2000
530330219035,877,2000
530330219041,1854,2000
530330219042,921,2000
530330219043,1275,2000
530330219044,814,2000
530330219051,2140,2000
530330219052,1105,2000
530330219053,1520,2000
530330219061,1636,2000
530330219062,740,2000
530330219063,1241,2000
530330220011,1290,2000
530330220012,1577,2000
530330220013,946,2000
530330220031,1413,2000
530330220032,1112,2000
530330220033,931,2000
530330220034,833,2000
530330220035,1026,2000
530330220051,1007,2000
530330220052,656,2000
530330220053,1813,2000
530330220054,971,2000
530330220061,642,2000
530330220062,676,2000
530330220063,1193,2000
530330220064,1142,2000
530330221011,1556,2000
530330221012,958,2000
530330221013,1377,2000
530330221014,878,2000
530330221021,2112,2000
530330221022,1069,2000
530330221023,1095,2000
530330221024,1010,2000
530330222011,1083,2000
530330222012,956,2000
530330222013,716,2000
530330222014,832,2000
530330222015,1001,2000
530330222021,1252,2000
530330222022,1451,2000
530330222023,1026,2000
530330222024,955,2000
530330222025,1498,2000
530330222026,608,2000
530330222031,1901,2000
530330222032,1335,2000
530330222033,571,2000
530330222034,622,2000
530330223001,1167,2000
530330223002,587,2000
530330223003,801,2000
530330224001,501,2000
530330224002,907,2000
530330224003,925,2000
530330224004,1231,2000
530330224005,603,2000
530330224006,450,2000
530330224007,679,2000
530330224008,678,2000
530330224009,1139,2000
530330225001,1060,2000
530330225002,1466,2000
530330225003,932,2000
530330225004,1267,2000
530330225005,1521,2000
530330226031,829,2000
530330226032,887,2000
530330226033,884,2000
530330226034,1188,2000
530330226035,699,2000
530330226041,637,2000
530330226042,874,2000
530330226043,1178,2000
530330226044,1134,2000
530330226051,1979,2000
530330226052,3101,2000
530330226061,1278,2000
530330226062,1299,2000
530330226063,682,2000
530330226064,1188,2000
530330226065,1037,2000
530330227011,1323,2000
530330227012,1260,2000
530330227021,1199,2000
530330227022,1122,2000
530330227023,1081,2000
530330227031,1389,2000
530330227032,871,2000
530330228011,2191,2000
530330228012,3895,2000
530330228013,1216,2000
530330228014,372,2000
530330228021,1622,2000
530330228022,1506,2000
530330228023,1256,2000
530330228031,956,2000
530330228032,2272,2000
530330228033,936,2000
530330229011,442,2000
530330229012,1221,2000
530330229013,1339,2000
530330229021,1783,2000
530330229022,853,2000
530330229023,733,2000
530330229024,1492,2000
530330229025,1188,2000
530330230001,1339,2000
530330230002,1231,2000
530330230003,1289,2000
530330230004,1264,2000
530330231001,638,2000
530330231002,774,2000
530330231003,506,2000
530330231004,429,2000
530330231005,1338,2000
530330232011,907,2000
530330232012,4570,2000
530330232021,2880,2000
530330232022,513,2000
530330232023,593,2000
530330233001,1954,2000
530330233002,1134,2000
530330233003,1764,2000
530330233004,1434,2000
530330234011,716,2000
530330234012,2283,2000
530330234013,434,2000
530330234021,1554,2000
530330234022,1337,2000
530330234023,641,2000
530330234024,1091,2000
530330234025,1006,2000
530330234026,1523,2000
530330235001,1100,2000
530330235002,1097,2000
530330235003,1268,2000
530330236011,1135,2000
530330236012,818,2000
530330236013,415,2000
530330236014,1281,2000
530330236031,1047,2000
530330236032,1903,2000
530330236033,555,2000
530330236034,1794,2000
530330236041,2167,2000
530330236042,1071,2000
530330236043,2127,2000
530330236044,418,2000
530330237001,973,2000
530330237002,1626,2000
530330237003,1464,2000
530330238011,1055,2000
530330238012,426,2000
530330238013,940,2000
530330238021,1217,2000
530330238022,1371,2000
530330239001,1852,2000
530330239002,549,2000
530330239003,738,2000
530330239004,804,2000
530330239005,579,2000
530330239006,655,2000
530330239007,1297,2000
530330240001,903,2000
530330240002,794,2000
530330240003,1531,2000
530330240004,1210,2000
530330240005,1053,2000
530330240006,1424,2000
530330241001,965,2000
530330241002,821,2000
530330241003,568,2000
530330241004,1056,2000
530330241005,931,2000
530330242001,687,2000
530330242002,835,2000
530330242003,695,2000
530330242004,784,2000
530330243001,1008,2000
530330243002,1333,2000
530330243003,776,2000
530330243004,699,2000
530330243005,928,2000
530330243006,1733,2000
530330244001,984,2000
530330244002,1547,2000
530330245001,519,2000
530330245002,1862,2000
530330245003,1236,2000
530330245004,613,2000
530330245005,557,2000
530330246011,1039,2000
530330246012,1336,2000
530330246013,595,2000
530330246014,941,2000
530330246015,587,2000
530330246021,667,2000
530330246022,2373,2000
530330246023,703,2000
530330247011,1109,2000
530330247012,1571,2000
530330247013,815,2000
530330247021,710,2000
530330247022,1130,2000
530330247023,2104,2000
530330247024,1153,2000
530330247025,968,2000
530330248001,1035,2000
530330248002,562,2000
530330248003,1065,2000
530330248004,2100,2000
530330248005,552,2000
530330249011,1094,2000
530330249012,1049,2000
530330249013,577,2000
530330249014,1125,2000
530330249015,1166,2000
530330249021,1149,2000
530330249022,1370,2000
530330249023,1067,2000
530330249031,1706,2000
530330249032,1837,2000
530330249033,1004,2000
530330249034,430,2000
530330249035,1672,2000
530330250011,977,2000
530330250012,1399,2000
530330250013,888,2000
530330250014,724,2000
530330250015,801,2000
530330250031,1234,2000
530330250032,1261,2000
530330250033,1352,2000
530330250034,1169,2000
530330250035,1662,2000
530330250041,1763,2000
530330250042,1295,2000
530330250043,1144,2000
530330251011,1326,2000
530330251012,1161,2000
530330251013,1028,2000
530330251014,1514,2000
530330251021,718,2000
530330251022,2565,2000
530330251023,1146,2000
530330252001,1066,2000
530330252002,1782,2000
530330252003,1053,2000
530330252004,1229,2000
530330252005,1142,2000
530330253001,1318,2000
530330253002,803,2000
530330253003,1339,2000
530330253004,1053,2000
530330253005,1564,2000
530330253006,890,2000
530330254001,628,2000
530330254002,650,2000
530330254003,2579,2000
530330254004,849,2000
530330254005,1610,2000
530330255001,1515,2000
530330255002,1233,2000
530330255003,821,2000
530330255004,672,2000
530330256001,905,2000
530330256002,1883,2000
530330256003,1134,2000
530330256004,1216,2000
530330256005,1026,2000
530330257011,722,2000
530330257012,498,2000
530330257013,623,2000
530330257014,1044,2000
530330257015,1117,2000
530330257016,1442,2000
530330257021,464,2000
530330257022,1007,2000
530330257023,783,2000
530330257024,423,2000
530330257025,697,2000
530330258011,802,2000
530330258012,622,2000
530330258013,1521,2000
530330258014,1752,2000
530330258015,612,2000
530330258016,793,2000
530330258017,1714,2000
530330258031,610,2000
530330258032,917,2000
530330258033,2070,2000
530330258034,631,2000
530330258041,976,2000
530330258042,1156,2000
530330258043,511,2000
530330258044,1116,2000
530330260011,1068,2000
530330260012,855,2000
530330260013,971,2000
530330260014,1064,2000
530330260015,1174,2000
530330260021,2606,2000
530330260022,734,2000
530330260023,481,2000
530330260024,1208,2000
530330260025,783,2000
530330261001,738,2000
530330261002,1014,2000
530330261003,561,2000
530330261004,1142,2000
530330261005,1262,2000
530330261006,1319,2000
530330262001,266,2000
530330262002,1151,2000
530330262003,2000,2000
530330262004,1521,2000
530330263001,393,2000
530330263002,838,2000
530330264001,662,2000
530330264002,1315,2000
530330264003,1412,2000
530330264004,1442,2000
530330264005,993,2000
530330265001,639,2000
530330265002,746,2000
530330265003,637,2000
530330265004,618,2000
530330266001,688,2000
530330266002,1435,2000
530330267001,571,2000
530330267002,1940,2000
530330267003,1247,2000
530330267004,1200,2000
530330267005,653,2000
530330268011,669,2000
530330268012,1554,2000
530330268013,685,2000
530330268014,1024,2000
530330268015,1029,2000
530330268021,806,2000
530330268022,909,2000
530330268023,1726,2000
530330268024,739,2000
530330268025,937,2000
530330269001,899,2000
530330269002,606,2000
530330270001,1004,2000
530330270002,894,2000
530330270003,1330,2000
530330271001,1452,2000
530330271002,777,2000
530330271003,857,2000
530330272001,781,2000
530330272002,1327,2000
530330273001,1115,2000
530330273002,2101,2000
530330273003,804,2000
530330273004,895,2000
530330273005,709,2000
530330274001,730,2000
530330274002,947,2000
530330274003,1194,2000
530330274004,1149,2000
530330274005,960,2000
530330275001,629,2000
530330275002,512,2000
530330275003,998,2000
530330275004,885,2000
530330275005,1554,2000
530330276001,1097,2000
530330276002,2141,2000
530330276003,420,2000
530330276004,510,2000
530330277011,1103,2000
530330277012,860,2000
530330277013,1263,2000
530330277014,1028,2000
530330277015,907,2000
530330277021,823,2000
530330277022,1600,2000
530330277023,1340,2000
530330277024,1199,2000
530330278001,963,2000
530330278002,1174,2000
530330278003,696,2000
530330278004,563,2000
530330279001,1010,2000
530330279002,1130,2000
530330279003,1055,2000
530330279004,889,2000
530330279005,807,2000
530330279006,1482,2000
530330280001,894,2000
530330280002,251,2000
530330280003,1111,2000
530330280004,1136,2000
530330281001,1184,2000
530330281002,1023,2000
530330282001,1385,2000
530330282002,1493,2000
530330282003,1484,2000
530330283001,1732,2000
530330283002,886,2000
530330283003,557,2000
530330284021,985,2000
530330284022,1067,2000
530330284023,1319,2000
530330284024,1257,2000
530330284031,2497,2000
530330284032,695,2000
530330284033,432,2000
530330284034,1228,2000
530330285001,175,2000
530330285002,846,2000
530330285003,1753,2000
530330285004,813,2000
530330286001,962,2000
530330286002,854,2000
530330286003,1303,2000
530330286004,1224,2000
530330286005,972,2000
530330286006,983,2000
530330287001,1016,2000
530330287002,803,2000
530330287003,632,2000
530330287004,902,2000
530330287005,1722,2000
530330288011,817,2000
530330288012,698,2000
530330288013,1481,2000
530330288014,697,2000
530330288021,1747,2000
530330288022,380,2000
530330288023,998,2000
530330288024,789,2000
530330288025,2083,2000
530330289011,1041,2000
530330289012,814,2000
530330289013,1050,2000
530330289014,733,2000
530330289021,1369,2000
530330289022,678,2000
530330289023,1115,2000
530330289024,957,2000
530330289025,986,2000
530330289026,1348,2000
530330290011,1270,2000
530330290012,912,2000
530330290013,897,2000
530330290014,1531,2000
530330290031,948,2000
530330290032,1444,2000
530330290033,1370,2000
530330290034,897,2000
530330290035,581,2000
530330290041,858,2000
530330290042,1843,2000
530330290043,718,2000
530330291001,947,2000
530330291002,1235,2000
530330291003,898,2000
530330291004,923,2000
530330291005,923,2000
530330292011,3137,2000
530330292012,1191,2000
530330292013,1730,2000
530330292014,1019,2000
530330292015,1640,2000
530330292031,1469,2000
530330292032,1216,2000
530330292041,3260,2000
530330292042,1149,2000
530330292043,786,2000
530330293031,715,2000
530330293032,832,2000
530330293033,2819,2000
530330293034,1090,2000
530330293041,993,2000
530330293042,1253,2000
530330293043,1286,2000
530330293044,1035,2000
530330293051,744,2000
530330293052,1262,2000
530330293053,837,2000
530330293054,858,2000
530330293061,1139,2000
530330293062,1509,2000
530330293071,983,2000
530330293072,694,2000
530330293073,1720,2000
530330293074,667,2000
530330294031,1645,2000
530330294032,1052,2000
530330294033,2482,2000
530330294051,1112,2000
530330294052,670,2000
530330294053,822,2000
530330294054,1055,2000
530330294055,761,2000
530330294056,1268,2000
530330294061,1299,2000
530330294062,2556,2000
530330294071,1335,2000
530330294072,2011,2000
530330294073,1064,2000
530330294081,1191,2000
530330294082,1318,2000
530330294083,1648,2000
530330295021,2322,2000
530330295022,3250,2000
530330295031,1212,2000
530330295032,1663,2000
530330295033,1620,2000
530330295034,861,2000
530330295035,1777,2000
530330295041,1220,2000
530330295042,1157,2000
530330295043,2107,2000
530330296011,2373,2000
530330296012,1528,2000
530330296013,2183,2000
530330296014,849,2000
530330296021,1013,2000
530330296022,2003,2000
530330297001,1601,2000
530330297002,1602,2000
530330297003,1520,2000
530330297004,814,2000
530330297005,636,2000
530330298011,1194,2000
530330298012,674,2000
530330298013,1349,2000
530330298014,1009,2000
530330298015,1113,2000
530330298016,2217,2000
530330298021,919,2000
530330298022,607,2000
530330298023,1289,2000
530330298024,933,2000
530330298025,1471,2000
530330298026,1830,2000
530330299011,1874,2000
530330299012,945,2000
530330299013,1857,2000
530330299021,1352,2000
530330299022,919,2000
530330299023,1555,2000
530330300021,1460,2000
530330300022,1420,2000
530330300023,2104,2000
530330300024,1396,2000
530330300025,753,2000
530330300026,1371,2000
530330300031,847,2000
530330300032,979,2000
530330300033,867,2000
530330300034,1130,2000
530330300035,649,2000
530330300036,891,2000
530330300041,928,2000
530330300042,4721,2000
530330300043,733,2000
530330300044,1298,2000
530330301001,838,2000
530330301002,1022,2000
530330301003,1489,2000
530330301004,940,2000
530330301005,1237,2000
530330301006,1034,2000
530330301007,925,2000
530330302011,875,2000
530330302012,1009,2000
530330302013,1705,2000
530330302014,1544,2000
530330302021,879,2000
530330302022,1586,2000
530330302023,969,2000
530330302024,1662,2000
530330302025,1418,2000
530330303031,1635,2000
530330303032,721,2000
530330303033,441,2000
530330303034,1445,2000
530330303035,660,2000
530330303036,1013,2000
530330303037,1139,2000
530330303041,912,2000
530330303042,902,2000
530330303043,655,2000
530330303051,1237,2000
530330303052,571,2000
530330303053,1437,2000
530330303054,1490,2000
530330303061,715,2000
530330303062,1254,2000
530330303063,1083,2000
530330303064,861,2000
530330303065,1127,2000
530330303066,718,2000
530330303081,3589,2000
530330303082,1688,2000
530330303083,1426,2000
530330303091,1275,2000
530330303092,1032,2000
530330303093,1460,2000
530330303094,1925,2000
530330303101,1003,2000
530330303102,2571,2000
530330303103,1477,2000
530330303111,1037,2000
530330303112,1903,2000
530330303113,1235,2000
530330303114,932,2000
530330303121,1452,2000
530330303122,1137,2000
530330303123,1310,2000
530330303124,1141,2000
530330304011,579,2000
530330304012,1526,2000
530330304013,717,2000
530330304014,925,2000
530330304015,1866,2000
530330304031,1399,2000
530330304032,1233,2000
530330304033,1523,2000
530330304041,1331,2000
530330304042,1056,2000
530330304043,917,2000
530330305011,1028,2000
530330305012,931,2000
530330305031,698,2000
530330305032,635,2000
530330305033,2412,2000
530330305041,947,2000
530330305042,1149,2000
530330305043,1060,2000
530330305044,1501,2000
530330306001,1946,2000
530330306002,1015,2000
530330306003,760,2000
530330306004,1354,2000
530330307001,922,2000
530330307002,879,2000
530330307003,622,2000
530330307004,1422,2000
530330308011,1133,2000
530330308012,507,2000
530330308013,2623,2000
530330308014,1695,2000
530330308021,1219,2000
530330308022,1346,2000
530330308023,1134,2000
530330309011,1483,2000
530330309012,1457,2000
530330309023,1754,2000
530330309024,1348,2000
530330309025,1549,2000
530330310001,3112,2000
530330311001,1291,2000
530330311002,1939,2000
530330311003,819,2000
530330311004,1202,2000
530330311005,973,2000
530330311006,433,2000
530330312021,1343,2000
530330312022,833,2000
530330312023,1736,2000
530330312024,725,2000
530330312025,1492,2000
530330312041,1183,2000
