Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",48031,8215
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",45247,7605
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",38374,8370
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",36888,5877
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",69313,23161
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",70209,13777
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",64084,12825
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",54134,10107
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",40222,11013
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",51071,12406
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",44012,8143
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",46361,5777
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",54970,7701
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",58612,11211
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",44806,7388
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",37712,6338
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",38559,8734
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",56358,9041
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",57543,7817
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",51751,12093
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",37736,4725
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",47503,8774
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",44888,7117
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",46305,8969
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",50930,11498
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",43232,8497
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",42810,8964
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",41003,8302
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",50320,18530
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",62798,16480
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",44982,7644
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",47350,7536
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",46639,7116
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",52530,9317
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",50924,11512
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",47653,7503
1500000US530330034002,530330034002,"Block Group 2, Census Tract 34, King County, Washington",51180,7999
1500000US530330034003,530330034003,"Block Group 3, Census Tract 34, King County, Washington",53279,8425
1500000US530330035001,530330035001,"Block Group 1, Census Tract 35, King County, Washington",49903,6824
1500000US530330035002,530330035002,"Block Group 2, Census Tract 35, King County, Washington",55100,8188
1500000US530330035003,530330035003,"Block Group 3, Census Tract 35, King County, Washington",41154,7534
1500000US530330036001,530330036001,"Block Group 1, Census Tract 36, King County, Washington",41919,8622
1500000US530330036002,530330036002,"Block Group 2, Census Tract 36, King County, Washington",56882,18139
1500000US530330036003,530330036003,"Block Group 3, Census Tract 36, King County, Washington",47878,9808
1500000US530330036004,530330036004,"Block Group 4, Census Tract 36, King County, Washington",49456,9491
1500000US530330038001,530330038001,"Block Group 1, Census Tract 38, King County, Washington",47918,7141
1500000US530330038002,530330038002,"Block Group 2, Census Tract 38, King County, Washington",51897,9022
1500000US530330039001,530330039001,"Block Group 1, Census Tract 39, King County, Washington",39533,4690
1500000US530330039002,530330039002,"Block Group 2, Census Tract 39, King County, Washington",63184,8800
1500000US530330040001,530330040001,"Block Group 1, Census Tract 40, King County, Washington",53134,11404
1500000US530330040002,530330040002,"Block Group 2, Census Tract 40, King County, Washington",56916,9916
1500000US530330041001,530330041001,"Block Group 1, Census Tract 41, King County, Washington",47578,10645
1500000US530330041002,530330041002,"Block Group 2, Census Tract 41, King County, Washington",65285,15032
1500000US530330041003,530330041003,"Block Group 3, Census Tract 41, King County, Washington",101789,21202
1500000US530330041004,530330041004,"Block Group 4, Census Tract 41, King County, Washington",56859,16961
1500000US530330041005,530330041005,"Block Group 5, Census Tract 41, King County, Washington",53380,16407
1500000US530330041006,530330041006,"Block Group 6, Census Tract 41, King County, Washington",103702,47537
