Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",581,148,0,12,0,12,0,12,581,148,0,12,581,148
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",982,176,98,61,47,46,51,40,884,178,289,108,595,173
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",610,159,114,109,51,43,63,100,496,165,104,61,392,160
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",881,190,81,52,39,40,42,35,800,199,154,114,646,179
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",819,103,91,68,40,42,51,49,728,108,111,61,617,121
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",658,106,152,83,56,48,96,70,506,125,89,87,417,115
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",665,146,42,41,0,12,42,41,623,146,51,49,572,145
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",567,101,58,63,19,29,39,60,509,96,52,41,457,97
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",347,93,7,14,0,12,7,14,340,92,74,55,266,79
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",614,113,24,28,12,19,12,19,590,111,38,34,552,108
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",586,95,38,59,0,12,38,59,548,89,60,42,488,96
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",550,49,15,16,8,12,7,11,535,53,50,37,485,64
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",565,58,7,11,0,12,7,11,558,60,121,63,437,70
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",507,49,0,12,0,12,0,12,507,49,81,40,426,55
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",544,62,10,16,0,12,10,16,534,66,44,35,490,68
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",735,80,9,14,9,14,0,12,726,81,87,45,639,73
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",913,123,62,53,48,57,14,23,851,118,76,51,775,123
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",509,87,27,43,0,12,27,43,482,83,54,37,428,88
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",542,85,8,14,1,8,7,11,534,86,80,47,454,98
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",765,107,176,88,107,64,69,61,589,104,58,39,531,109
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",476,89,47,35,36,31,11,17,429,90,113,56,316,85
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",376,72,57,44,29,29,28,35,319,76,42,35,277,73
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",266,70,33,39,33,39,0,12,233,67,40,33,193,63
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",706,130,61,79,0,12,61,79,645,125,120,63,525,135
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",829,127,62,52,26,31,36,42,767,130,0,12,767,130
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",711,168,44,47,3,10,41,48,667,163,75,79,592,163
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1061,106,42,41,9,14,33,39,1019,111,146,64,873,125
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",566,71,41,42,0,12,41,42,525,67,42,31,483,65
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",442,84,20,18,10,12,10,17,422,85,114,51,308,86
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",686,86,41,46,41,46,0,12,645,84,134,71,511,77
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",522,75,11,17,0,12,11,17,511,77,78,49,433,80
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",377,53,10,17,0,12,10,17,367,56,47,29,320,65
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",558,71,9,14,0,12,9,14,549,70,101,49,448,73
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",392,63,23,33,0,12,23,33,369,62,26,24,343,64
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",673,79,19,21,9,14,10,14,654,80,75,52,579,80
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",567,70,0,12,0,12,0,12,567,70,46,37,521,81
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",578,83,12,21,0,12,12,21,566,83,113,62,453,103
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",551,79,0,12,0,12,0,12,551,79,78,50,473,94
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",491,80,16,24,0,12,16,24,475,86,63,51,412,92
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",375,48,0,12,0,12,0,12,375,48,57,35,318,59
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",343,55,13,16,7,12,6,11,330,53,45,30,285,61
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",520,71,0,12,0,12,0,12,520,71,77,37,443,79
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",581,62,0,12,0,12,0,12,581,62,61,32,520,67
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",657,63,34,24,16,13,18,20,623,68,50,38,573,68
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",491,81,19,22,8,12,11,19,472,83,21,23,451,81
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",575,87,10,16,0,12,10,16,565,92,50,34,515,95
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",503,75,0,12,0,12,0,12,503,75,32,23,471,71
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",378,54,18,19,10,15,8,13,360,59,59,55,301,56
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",635,133,11,18,0,12,11,18,624,136,9,16,615,137
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",454,82,20,30,20,30,0,12,434,85,21,24,413,89
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",446,100,17,29,17,29,0,12,429,100,44,42,385,100
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",634,108,11,19,11,19,0,12,623,110,51,37,572,122
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",415,90,0,12,0,12,0,12,415,90,16,27,399,94
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",394,84,0,12,0,12,0,12,394,84,51,51,343,83
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",561,110,13,22,0,12,13,22,548,109,28,31,520,112
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",613,96,24,38,24,38,0,12,589,98,87,59,502,104
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",637,82,60,41,7,11,53,40,577,87,65,34,512,89
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",597,82,50,41,25,38,25,40,547,77,47,33,500,87
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",560,68,8,13,0,12,8,13,552,67,30,20,522,69
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",648,76,0,12,0,12,0,12,648,76,102,61,546,90
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",609,95,0,12,0,12,0,12,609,95,66,55,543,105
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",664,107,0,12,0,12,0,12,664,107,34,34,630,108
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",539,99,0,12,0,12,0,12,539,99,78,73,461,97
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",531,84,0,12,0,12,0,12,531,84,68,47,463,97
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",430,72,24,29,0,12,24,29,406,75,31,34,375,77
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",479,108,91,66,83,67,8,14,388,87,33,37,355,77
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",631,94,8,15,8,15,0,12,623,100,46,43,577,113
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",445,73,24,27,0,12,24,27,421,80,39,34,382,77
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",434,102,16,25,0,12,16,25,418,99,26,20,392,100
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",761,138,33,36,17,26,16,25,728,137,110,87,618,151
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",636,121,38,44,38,44,0,12,598,119,27,30,571,122
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",678,146,63,46,14,23,49,46,615,147,77,56,538,148
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",274,57,0,12,0,12,0,12,274,57,14,22,260,54
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",771,157,71,95,0,12,71,95,700,159,181,89,519,155
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",420,96,0,12,0,12,0,12,420,96,79,46,341,100
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",564,87,37,42,20,36,17,22,527,90,35,29,492,99
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",444,104,0,12,0,12,0,12,444,104,77,63,367,101
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",1080,130,121,75,0,12,121,75,959,144,32,32,927,146
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",531,87,35,35,0,12,35,35,496,88,28,32,468,88
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",564,88,24,29,0,12,24,29,540,93,62,58,478,108
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",469,69,9,15,0,12,9,15,460,71,63,55,397,69
1500000US530330034002,530330034002,"Block Group 2, Census Tract 34, King County, Washington",559,92,0,12,0,12,0,12,559,92,25,25,534,97
1500000US530330034003,530330034003,"Block Group 3, Census Tract 34, King County, Washington",400,76,17,20,9,14,8,13,383,76,47,35,336,79
1500000US530330035001,530330035001,"Block Group 1, Census Tract 35, King County, Washington",628,84,54,41,44,38,10,16,574,97,47,38,527,97
1500000US530330035002,530330035002,"Block Group 2, Census Tract 35, King County, Washington",670,95,0,12,0,12,0,12,670,95,68,45,602,105
1500000US530330035003,530330035003,"Block Group 3, Census Tract 35, King County, Washington",540,88,0,12,0,12,0,12,540,88,77,51,463,77
1500000US530330036001,530330036001,"Block Group 1, Census Tract 36, King County, Washington",666,119,21,26,0,12,21,26,645,120,64,52,581,122
1500000US530330036002,530330036002,"Block Group 2, Census Tract 36, King County, Washington",935,164,69,54,54,50,15,24,866,174,52,42,814,173
1500000US530330036003,530330036003,"Block Group 3, Census Tract 36, King County, Washington",556,74,48,27,17,26,31,34,508,78,64,52,444,85
1500000US530330036004,530330036004,"Block Group 4, Census Tract 36, King County, Washington",1093,148,14,22,14,22,0,12,1079,148,160,97,919,155
1500000US530330038001,530330038001,"Block Group 1, Census Tract 38, King County, Washington",463,53,5,8,5,8,0,12,458,54,125,54,333,60
1500000US530330038002,530330038002,"Block Group 2, Census Tract 38, King County, Washington",412,51,6,9,0,12,6,9,406,53,51,30,355,54
1500000US530330039001,530330039001,"Block Group 1, Census Tract 39, King County, Washington",776,65,16,26,0,12,16,26,760,67,91,52,669,77
1500000US530330039002,530330039002,"Block Group 2, Census Tract 39, King County, Washington",421,60,0,12,0,12,0,12,421,60,78,45,343,66
1500000US530330040001,530330040001,"Block Group 1, Census Tract 40, King County, Washington",998,62,161,78,48,39,113,73,837,84,69,36,768,91
1500000US530330040002,530330040002,"Block Group 2, Census Tract 40, King County, Washington",326,53,19,21,9,14,10,15,307,57,44,29,263,56
1500000US530330041001,530330041001,"Block Group 1, Census Tract 41, King County, Washington",560,106,0,12,0,12,0,12,560,106,0,12,560,106
1500000US530330041002,530330041002,"Block Group 2, Census Tract 41, King County, Washington",647,104,0,12,0,12,0,12,647,104,150,79,497,102
1500000US530330041003,530330041003,"Block Group 3, Census Tract 41, King County, Washington",554,95,28,41,28,41,0,12,526,100,27,22,499,108
1500000US530330041004,530330041004,"Block Group 4, Census Tract 41, King County, Washington",596,110,15,24,0,12,15,24,581,113,54,52,527,106
1500000US530330041005,530330041005,"Block Group 5, Census Tract 41, King County, Washington",406,82,23,25,0,12,23,25,383,84,50,44,333,86
1500000US530330041006,530330041006,"Block Group 6, Census Tract 41, King County, Washington",322,82,0,12,0,12,0,12,322,82,73,63,249,77
1500000US530330042001,530330042001,"Block Group 1, Census Tract 42, King County, Washington",707,93,48,76,0,12,48,76,659,87,46,41,613,93
1500000US530330042002,530330042002,"Block Group 2, Census Tract 42, King County, Washington",642,80,55,34,30,34,25,30,587,77,108,61,479,94
1500000US530330042003,530330042003,"Block Group 3, Census Tract 42, King County, Washington",589,102,12,20,0,12,12,20,577,103,38,35,539,104
1500000US530330042004,530330042004,"Block Group 4, Census Tract 42, King County, Washington",692,98,14,26,0,12,14,26,678,102,25,30,653,108
1500000US530330042005,530330042005,"Block Group 5, Census Tract 42, King County, Washington",534,63,11,17,0,12,11,17,523,66,0,12,523,66
1500000US530330043011,530330043011,"Block Group 1, Census Tract 43.01, King County, Washington",446,87,19,23,11,18,8,15,427,88,20,22,407,88
1500000US530330043012,530330043012,"Block Group 2, Census Tract 43.01, King County, Washington",487,81,10,16,10,16,0,12,477,84,35,41,442,87
1500000US530330043013,530330043013,"Block Group 3, Census Tract 43.01, King County, Washington",504,75,27,29,14,21,13,19,477,76,68,42,409,77
1500000US530330043021,530330043021,"Block Group 1, Census Tract 43.02, King County, Washington",557,125,52,69,0,12,52,69,505,126,8,12,497,126
1500000US530330043022,530330043022,"Block Group 2, Census Tract 43.02, King County, Washington",828,149,118,83,31,27,87,79,710,144,155,94,555,141
1500000US530330044001,530330044001,"Block Group 1, Census Tract 44, King County, Washington",561,119,20,33,0,12,20,33,541,117,30,40,511,117
1500000US530330044002,530330044002,"Block Group 2, Census Tract 44, King County, Washington",764,159,13,21,0,12,13,21,751,163,88,57,663,166
1500000US530330044003,530330044003,"Block Group 3, Census Tract 44, King County, Washington",249,89,17,27,17,27,0,12,232,89,0,12,232,89
1500000US530330044004,530330044004,"Block Group 4, Census Tract 44, King County, Washington",780,161,34,38,19,30,15,24,746,159,64,82,682,157
1500000US530330045001,530330045001,"Block Group 1, Census Tract 45, King County, Washington",394,60,41,51,0,12,41,51,353,58,44,28,309,53
1500000US530330045002,530330045002,"Block Group 2, Census Tract 45, King County, Washington",598,71,29,21,0,12,29,21,569,73,78,36,491,75
1500000US530330046001,530330046001,"Block Group 1, Census Tract 46, King County, Washington",438,80,0,12,0,12,0,12,438,80,43,47,395,81
1500000US530330046002,530330046002,"Block Group 2, Census Tract 46, King County, Washington",610,74,21,30,0,12,21,30,589,73,18,19,571,76
1500000US530330046003,530330046003,"Block Group 3, Census Tract 46, King County, Washington",384,61,0,12,0,12,0,12,384,61,120,68,264,56
1500000US530330047001,530330047001,"Block Group 1, Census Tract 47, King County, Washington",487,130,0,12,0,12,0,12,487,130,63,61,424,127
1500000US530330047002,530330047002,"Block Group 2, Census Tract 47, King County, Washington",769,190,0,12,0,12,0,12,769,190,32,38,737,193
1500000US530330047003,530330047003,"Block Group 3, Census Tract 47, King County, Washington",1379,222,93,65,55,42,38,46,1286,218,137,102,1149,208
1500000US530330047004,530330047004,"Block Group 4, Census Tract 47, King County, Washington",1746,269,47,49,0,12,47,49,1699,274,258,165,1441,243
1500000US530330048001,530330048001,"Block Group 1, Census Tract 48, King County, Washington",458,109,15,23,15,23,0,12,443,110,10,17,433,110
1500000US530330048002,530330048002,"Block Group 2, Census Tract 48, King County, Washington",598,122,12,21,0,12,12,21,586,123,58,75,528,111
1500000US530330048003,530330048003,"Block Group 3, Census Tract 48, King County, Washington",587,114,29,34,0,12,29,34,558,112,42,40,516,119
1500000US530330048004,530330048004,"Block Group 4, Census Tract 48, King County, Washington",544,125,0,12,0,12,0,12,544,125,25,30,519,129
1500000US530330049001,530330049001,"Block Group 1, Census Tract 49, King County, Washington",566,104,104,84,25,29,79,83,462,87,33,29,429,97
1500000US530330049002,530330049002,"Block Group 2, Census Tract 49, King County, Washington",546,124,66,62,0,12,66,62,480,125,0,12,480,125
1500000US530330049003,530330049003,"Block Group 3, Census Tract 49, King County, Washington",725,119,19,31,0,12,19,31,706,123,0,12,706,123
1500000US530330049004,530330049004,"Block Group 4, Census Tract 49, King County, Washington",845,133,19,28,0,12,19,28,826,136,18,29,808,137
1500000US530330049005,530330049005,"Block Group 5, Census Tract 49, King County, Washington",960,172,46,44,14,22,32,38,914,179,27,29,887,182
1500000US530330050001,530330050001,"Block Group 1, Census Tract 50, King County, Washington",674,81,15,16,7,11,8,13,659,83,41,42,618,92
1500000US530330050002,530330050002,"Block Group 2, Census Tract 50, King County, Washington",418,90,0,12,0,12,0,12,418,90,8,13,410,91
1500000US530330050003,530330050003,"Block Group 3, Census Tract 50, King County, Washington",741,104,69,64,51,62,18,19,672,95,167,69,505,101
1500000US530330051001,530330051001,"Block Group 1, Census Tract 51, King County, Washington",692,84,10,14,10,14,0,12,682,86,60,48,622,89
1500000US530330051002,530330051002,"Block Group 2, Census Tract 51, King County, Washington",528,59,8,12,8,12,0,12,520,59,81,36,439,67
1500000US530330051003,530330051003,"Block Group 3, Census Tract 51, King County, Washington",378,55,7,13,0,12,7,13,371,53,28,25,343,53
1500000US530330052001,530330052001,"Block Group 1, Census Tract 52, King County, Washington",511,124,75,79,14,22,61,76,436,111,50,43,386,116
1500000US530330052002,530330052002,"Block Group 2, Census Tract 52, King County, Washington",619,145,29,35,16,28,13,21,590,152,17,27,573,155
1500000US530330052003,530330052003,"Block Group 3, Census Tract 52, King County, Washington",555,98,29,34,13,21,16,26,526,111,50,51,476,116
1500000US530330052004,530330052004,"Block Group 4, Census Tract 52, King County, Washington",532,96,47,77,0,12,47,77,485,81,87,51,398,92
1500000US530330052005,530330052005,"Block Group 5, Census Tract 52, King County, Washington",687,153,124,84,81,78,43,37,563,141,83,82,480,129
1500000US530330053011,530330053011,"Block Group 1, Census Tract 53.01, King County, Washington",338,118,9,15,9,15,0,12,329,117,43,59,286,114
1500000US530330053012,530330053012,"Block Group 2, Census Tract 53.01, King County, Washington",1157,165,83,42,59,42,24,31,1074,165,105,101,969,164
1500000US530330053013,530330053013,"Block Group 3, Census Tract 53.01, King County, Washington",671,134,71,77,71,77,0,12,600,133,39,43,561,127
1500000US530330053014,530330053014,"Block Group 4, Census Tract 53.01, King County, Washington",526,140,43,69,0,12,43,69,483,123,80,64,403,103
1500000US530330053021,530330053021,"Block Group 1, Census Tract 53.02, King County, Washington",128,32,0,12,0,12,0,12,128,32,0,12,128,32
1500000US530330053022,530330053022,"Block Group 2, Census Tract 53.02, King County, Washington",14,15,0,12,0,12,0,12,14,15,0,12,14,15
1500000US530330053023,530330053023,"Block Group 3, Census Tract 53.02, King County, Washington",0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US530330054001,530330054001,"Block Group 1, Census Tract 54, King County, Washington",369,78,8,15,8,15,0,12,361,81,34,46,327,81
1500000US530330054002,530330054002,"Block Group 2, Census Tract 54, King County, Washington",779,129,62,67,0,12,62,67,717,127,14,21,703,127
1500000US530330054003,530330054003,"Block Group 3, Census Tract 54, King County, Washington",735,122,50,81,0,12,50,81,685,113,106,65,579,114
1500000US530330054004,530330054004,"Block Group 4, Census Tract 54, King County, Washington",804,118,14,23,0,12,14,23,790,120,23,29,767,126
