block_group,mode_index,affordability_index
5.3033E+11,0.754285714,0.33949819
5.3033E+11,0.75,0.409160089
5.3033E+11,0.515714286,0.615375011
5.3033E+11,0.845,0.765571651
5.3033E+11,0.676428571,0.336269912
5.3033E+11,0.666428571,0.276418098
5.3033E+11,0.819285714,0.689997972
5.3033E+11,0.695,0.409488219
5.3033E+11,0.830714286,0.606606887
5.3033E+11,0.747142857,0.433366322
5.3033E+11,0.827142857,0.488486219
5.3033E+11,0.699285714,0.396770123
5.3033E+11,0.691428571,0.456056595
5.3033E+11,0.675,0.414373614
5.3033E+11,0.729285714,0.505984597
5.3033E+11,0.642142857,0.480118368
5.3033E+11,0.642142857,0.477847969
5.3033E+11,0.609285714,0.37346846
5.3033E+11,0.687857143,0.414711375
5.3033E+11,0.654285714,0.397927204
5.3033E+11,0.747857143,0.349803268
5.3033E+11,0.645714286,0.231417311
5.3033E+11,0.808571429,0.834552093
5.3033E+11,0.716428571,0.427762482
5.3033E+11,0.818571429,0.860349443
5.3033E+11,0.637857143,0.398653293
5.3033E+11,0.695714286,0.484820573
5.3033E+11,0.734285714,0.472476689
5.3033E+11,0.842142857,0.687084098
5.3033E+11,0.64,0.411141101
5.3033E+11,0.722142857,0.270149507
5.3033E+11,0.716428571,0.270755062
5.3033E+11,0.777142857,0.351581729
5.3033E+11,0.786428571,0.483008176
5.3033E+11,0.712142857,0.527871228
5.3033E+11,0.676428571,0.392603664
5.3033E+11,0.725,0.434858046
5.3033E+11,0.796428571,0.534172655
5.3033E+11,0.815714286,0.815494291
5.3033E+11,0.580714286,0.290104543
5.3033E+11,0.739285714,0.495659089
5.3033E+11,0.592142857,0.462967816
5.3033E+11,0.692142857,0.426676967
5.3033E+11,0.814285714,0.714696398
5.3033E+11,0.624285714,0.324630122
5.3033E+11,0.750714286,0.596132003
5.3033E+11,0.728571429,0.292951909
5.3033E+11,0.793571429,0.496965084
5.3033E+11,0.767142857,0.608156387
5.3033E+11,0.654285714,0.286950524
5.3033E+11,0.775,0.618984686
5.3033E+11,0.652857143,0.4207121
5.3033E+11,0.685714286,0.338024384
5.3033E+11,0.71,0.393754399
5.3033E+11,0.690714286,0.385930315
5.3033E+11,0.818571429,0.729314484
5.3033E+11,0.735,0.519807719
5.3033E+11,0.568571429,0.451830016
5.3033E+11,0.747142857,0.261723749
5.3033E+11,0.782857143,0.620696691
5.3033E+11,0.762857143,0.616050847
5.3033E+11,0.783571429,0.573337322
5.3033E+11,0.700714286,0.409158259
5.3033E+11,0.678571429,0.405326182
5.3033E+11,0.791428571,0.404423105
5.3033E+11,0.778571429,0.319433848
5.3033E+11,0.843571429,0.645119199
5.3033E+11,0.803571429,0.676856261
5.3033E+11,0.822142857,0.910379733
5.3033E+11,0.707142857,0.372301762
5.3033E+11,0.686428571,0.359269631
5.3033E+11,0.658571429,0.409704435
5.3033E+11,0.697857143,0.454789075
5.3033E+11,0.761428571,0.408158962
5.3033E+11,0.625,0.332073963
5.3033E+11,0.822857143,0.483370549
5.3033E+11,0.682857143,0.373538817
5.3033E+11,0.823571429,0.625743991
5.3033E+11,0.616428571,0.210759914
5.3033E+11,0.610714286,0.497242806
5.3033E+11,0.666428571,0.347411083
5.3033E+11,0.672142857,0.045857413
5.3033E+11,0.66,0.299253254
5.3033E+11,0.642142857,0.542886368
5.3033E+11,0.778571429,0.50623916
5.3033E+11,0.750714286,0.377337168
5.3033E+11,0.652857143,0.230955696
5.3033E+11,0.666428571,0.342676684
5.3033E+11,0.642142857,0.493724291
5.3033E+11,0.699285714,0.223190978
5.3033E+11,0.646428571,0.370823237
