Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330239001,530330239001,"Block Group 1, Census Tract 239, King County, Washington",2173,479,1518,455,77,89,0,12,385,190,34,52,13,41,146,129,0,12,146,129
1500000US530330239002,530330239002,"Block Group 2, Census Tract 239, King County, Washington",1614,276,1358,272,25,33,11,19,165,115,0,12,17,26,38,55,0,12,38,55
1500000US530330239003,530330239003,"Block Group 3, Census Tract 239, King County, Washington",1862,256,1616,215,0,12,0,12,222,166,0,12,0,12,24,27,0,12,24,27
1500000US530330239004,530330239004,"Block Group 4, Census Tract 239, King County, Washington",1302,328,990,299,0,12,0,12,248,185,11,17,0,12,53,58,0,12,53,58
1500000US530330240001,530330240001,"Block Group 1, Census Tract 240, King County, Washington",1707,355,1188,261,0,12,0,12,261,166,0,12,0,12,258,276,0,12,258,276
1500000US530330240002,530330240002,"Block Group 2, Census Tract 240, King County, Washington",1952,493,1327,381,15,24,0,12,401,199,55,84,0,12,154,138,0,12,154,138
1500000US530330240003,530330240003,"Block Group 3, Census Tract 240, King County, Washington",2025,427,1251,348,0,12,0,12,738,344,0,12,0,12,36,56,18,28,18,28
1500000US530330240004,530330240004,"Block Group 4, Census Tract 240, King County, Washington",1968,369,1414,284,16,23,0,12,395,184,0,12,0,12,143,127,0,12,143,127
1500000US530330241001,530330241001,"Block Group 1, Census Tract 241, King County, Washington",1042,120,905,113,0,12,0,12,92,63,0,12,0,12,45,30,0,12,45,30
1500000US530330241002,530330241002,"Block Group 2, Census Tract 241, King County, Washington",941,118,709,95,0,12,0,12,183,77,4,6,1,3,44,28,2,5,42,27
1500000US530330241003,530330241003,"Block Group 3, Census Tract 241, King County, Washington",1541,169,1337,178,0,12,0,12,199,74,0,12,0,12,5,7,0,12,5,7
1500000US530330241004,530330241004,"Block Group 4, Census Tract 241, King County, Washington",1142,158,1008,166,0,12,0,12,125,74,0,12,0,12,9,13,0,12,9,13
1500000US530330242001,530330242001,"Block Group 1, Census Tract 242, King County, Washington",1372,188,1209,199,0,12,0,12,136,64,0,12,10,15,17,19,0,12,17,19
1500000US530330242002,530330242002,"Block Group 2, Census Tract 242, King County, Washington",1595,192,1291,195,9,14,0,12,194,80,0,12,29,39,72,45,0,12,72,45
1500000US530330243001,530330243001,"Block Group 1, Census Tract 243, King County, Washington",1239,256,1100,254,0,12,0,12,101,102,0,12,19,31,19,32,0,12,19,32
1500000US530330243002,530330243002,"Block Group 2, Census Tract 243, King County, Washington",2005,286,1553,245,35,56,0,12,405,168,0,12,0,12,12,18,0,12,12,18
1500000US530330243003,530330243003,"Block Group 3, Census Tract 243, King County, Washington",1274,318,764,195,12,18,0,12,344,280,29,92,0,12,125,107,0,12,125,107
1500000US530330243004,530330243004,"Block Group 4, Census Tract 243, King County, Washington",1474,283,1042,256,4,9,4,9,409,169,0,12,0,12,15,25,0,12,15,25
1500000US530330243005,530330243005,"Block Group 5, Census Tract 243, King County, Washington",1292,367,904,316,153,188,18,28,152,89,0,12,16,26,49,46,0,12,49,46
1500000US530330244001,530330244001,"Block Group 1, Census Tract 244, King County, Washington",1009,178,889,184,0,12,0,12,68,75,0,12,24,41,28,28,11,17,17,21
1500000US530330244002,530330244002,"Block Group 2, Census Tract 244, King County, Washington",1920,232,1367,271,8,18,0,12,410,136,55,77,0,12,80,75,0,12,80,75
1500000US530330245001,530330245001,"Block Group 1, Census Tract 245, King County, Washington",2208,290,1448,236,68,66,0,12,550,227,0,12,0,12,142,73,10,15,132,73
1500000US530330245002,530330245002,"Block Group 2, Census Tract 245, King County, Washington",1308,207,1110,216,46,47,0,12,118,93,0,12,0,12,34,39,0,12,34,39
1500000US530330245003,530330245003,"Block Group 3, Census Tract 245, King County, Washington",1303,243,994,198,9,15,0,12,231,172,0,12,0,12,69,70,0,12,69,70
1500000US530330246011,530330246011,"Block Group 1, Census Tract 246.01, King County, Washington",1570,298,1368,288,0,12,0,12,139,140,51,81,0,12,12,18,12,18,0,12
1500000US530330246012,530330246012,"Block Group 2, Census Tract 246.01, King County, Washington",1596,262,1528,266,0,12,0,12,68,63,0,12,0,12,0,12,0,12,0,12
1500000US530330246013,530330246013,"Block Group 3, Census Tract 246.01, King County, Washington",1350,265,1087,210,0,12,0,12,151,101,0,12,0,12,112,96,0,12,112,96
1500000US530330246021,530330246021,"Block Group 1, Census Tract 246.02, King County, Washington",970,198,790,207,14,22,0,12,153,112,0,12,0,12,13,21,0,12,13,21
1500000US530330246022,530330246022,"Block Group 2, Census Tract 246.02, King County, Washington",2091,195,1844,214,0,12,0,12,191,110,0,12,0,12,56,87,0,12,56,87
1500000US530330246023,530330246023,"Block Group 3, Census Tract 246.02, King County, Washington",692,130,481,141,0,12,0,12,168,109,0,12,0,12,43,47,0,12,43,47
1500000US530330247011,530330247011,"Block Group 1, Census Tract 247.01, King County, Washington",1350,225,589,156,6,10,24,25,596,154,0,12,0,12,135,99,0,12,135,99
1500000US530330247012,530330247012,"Block Group 2, Census Tract 247.01, King County, Washington",1196,226,671,177,74,84,34,54,295,125,0,12,45,70,77,77,0,12,77,77
1500000US530330247013,530330247013,"Block Group 3, Census Tract 247.01, King County, Washington",867,256,803,252,0,12,0,12,63,62,0,12,0,12,1,3,0,12,1,3
1500000US530330247021,530330247021,"Block Group 1, Census Tract 247.02, King County, Washington",2159,358,1646,353,0,12,0,12,362,189,0,12,0,12,151,115,47,71,104,98
1500000US530330247022,530330247022,"Block Group 2, Census Tract 247.02, King County, Washington",1185,303,851,249,56,79,26,31,71,77,0,12,25,57,156,122,0,12,156,122
1500000US530330247023,530330247023,"Block Group 3, Census Tract 247.02, King County, Washington",1939,390,1211,375,17,27,0,12,654,279,0,12,0,12,57,67,0,12,57,67
1500000US530330247024,530330247024,"Block Group 4, Census Tract 247.02, King County, Washington",1392,258,886,255,0,12,0,12,396,202,42,64,0,12,68,78,0,12,68,78
1500000US530330247025,530330247025,"Block Group 5, Census Tract 247.02, King County, Washington",612,162,475,171,44,42,0,12,60,53,0,12,0,12,33,51,0,12,33,51
1500000US530330248001,530330248001,"Block Group 1, Census Tract 248, King County, Washington",1128,296,825,272,56,49,0,12,183,132,0,12,0,12,64,101,0,12,64,101
1500000US530330248002,530330248002,"Block Group 2, Census Tract 248, King County, Washington",1830,382,1110,290,22,32,0,12,596,294,0,12,26,44,76,86,22,37,54,78
1500000US530330248003,530330248003,"Block Group 3, Census Tract 248, King County, Washington",2485,389,1075,261,145,139,0,12,1189,379,0,12,0,12,76,79,0,12,76,79
1500000US530330249011,530330249011,"Block Group 1, Census Tract 249.01, King County, Washington",1201,218,582,136,31,44,0,12,381,196,59,90,0,12,148,114,0,12,148,114
1500000US530330249012,530330249012,"Block Group 2, Census Tract 249.01, King County, Washington",1570,260,809,165,22,32,0,12,628,249,0,12,0,12,111,91,0,12,111,91
1500000US530330249013,530330249013,"Block Group 3, Census Tract 249.01, King County, Washington",1476,271,719,161,17,19,0,12,642,242,0,12,0,12,98,84,0,12,98,84
1500000US530330249014,530330249014,"Block Group 4, Census Tract 249.01, King County, Washington",881,167,543,149,2,4,2,4,264,113,31,48,1,3,38,46,0,12,38,46
