Id,Id2,Geography,Population,Margin of Error; Total
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",1546,192
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",1236,239
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",1270,204
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",1614,219
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",1333,175
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",1453,259
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",1739,286
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",989,202
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",1260,253
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",1688,288
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",920,165
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",1234,341
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",651,189
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",1841,572
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",1517,383
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",1922,509
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",2319,294
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",1366,235
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",1104,188
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",1756,199
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",1034,193
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",857,173
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",1622,196
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",955,180
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",1526,240
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",1585,262
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",1429,245
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",1342,242
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",1263,232
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",913,167
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",699,157
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",1393,180
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",1598,182
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",1403,180
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",1199,234
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",1393,227
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",1474,257
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",945,198
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",1927,355
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",1702,446
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",1073,361
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",1439,282
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",919,242
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",1219,253
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",1277,248
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",1492,250
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",1531,230
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",1531,188
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",1260,190
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",1303,218
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",1457,391
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",1556,317
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",1478,337
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",966,223
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",949,236
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",1368,374
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",1726,332
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",1206,189
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",982,275
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",1397,302
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",1089,237
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",1169,384
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",553,160
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",1906,589
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",1327,413
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",1719,252
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",880,237
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",1879,332
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",1034,219
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",1045,232
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",1359,197
