Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",635,93,80,99,16,25,64,97,555,91,68,51,487,88
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",514,66,14,16,7,11,7,10,500,66,68,42,432,65
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",589,71,9,14,0,12,9,14,580,73,135,69,445,75
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",612,62,0,12,0,12,0,12,612,62,83,41,529,70
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",524,62,0,12,0,12,0,12,524,62,104,45,420,69
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",680,101,35,43,8,12,27,41,645,96,94,41,551,96
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",864,110,129,76,28,31,101,75,735,100,78,45,657,105
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",510,81,44,49,38,48,6,11,466,74,50,37,416,75
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",568,84,29,28,8,12,21,25,539,86,102,48,437,88
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",878,104,162,81,95,64,67,58,716,111,123,68,593,112
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",570,97,52,57,52,57,0,12,518,96,136,89,382,89
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",414,84,38,34,12,19,26,28,376,87,68,47,308,86
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",281,64,0,12,0,12,0,12,281,64,21,27,260,63
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",673,122,81,82,7,15,74,83,592,117,60,54,532,117
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",684,145,67,47,40,41,27,34,617,142,0,12,617,142
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",879,162,30,37,20,31,10,20,849,167,111,88,738,161
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1232,95,80,60,33,40,47,44,1152,104,188,70,964,117
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",540,67,28,26,16,18,12,18,512,73,101,50,411,73
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",461,58,7,11,0,12,7,11,454,60,60,32,394,65
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",826,86,48,51,29,42,19,30,778,89,126,52,652,83
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",452,59,12,19,0,12,12,19,440,59,79,50,361,63
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",315,53,12,15,5,10,7,11,303,53,50,31,253,45
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",640,71,8,12,0,12,8,12,632,73,91,45,541,80
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",415,74,59,56,8,12,51,55,356,71,76,56,280,74
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",685,82,38,28,17,18,21,21,647,83,64,31,583,84
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",575,75,0,12,0,12,0,12,575,75,75,50,500,83
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",528,64,0,12,0,12,0,12,528,64,78,50,450,73
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",570,84,0,12,0,12,0,12,570,84,47,36,523,91
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",529,66,11,17,0,12,11,17,518,73,73,53,445,89
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",362,56,15,23,15,23,0,12,347,59,58,32,289,64
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",316,54,14,16,0,12,14,16,302,54,64,39,238,54
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",579,69,6,10,6,10,0,12,573,70,54,34,519,78
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",653,62,17,23,17,23,0,12,636,67,101,48,535,80
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",618,68,54,33,46,28,8,14,564,70,86,50,478,83
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",497,83,16,18,6,9,10,15,481,82,41,34,440,90
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",512,68,9,15,0,12,9,15,503,67,52,32,451,72
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",549,73,9,13,9,13,0,12,540,72,54,34,486,69
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",361,61,6,9,0,12,6,9,355,62,64,36,291,61
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",726,111,0,12,0,12,0,12,726,111,98,80,628,128
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",600,101,17,28,17,28,0,12,583,106,75,54,508,108
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",454,94,0,12,0,12,0,12,454,94,54,42,400,91
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",630,84,0,12,0,12,0,12,630,84,44,34,586,90
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",369,81,0,12,0,12,0,12,369,81,47,37,322,82
