Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330298022,530330298022,"Block Group 2, Census Tract 298.02, King County, Washington",538,149,360,107,178,128
1500000US530330298023,530330298023,"Block Group 3, Census Tract 298.02, King County, Washington",838,158,492,111,346,126
1500000US530330298024,530330298024,"Block Group 4, Census Tract 298.02, King County, Washington",339,118,331,122,8,16
1500000US530330298025,530330298025,"Block Group 5, Census Tract 298.02, King County, Washington",418,91,352,96,66,63
1500000US530330298026,530330298026,"Block Group 6, Census Tract 298.02, King County, Washington",686,130,636,134,50,54
1500000US530330299011,530330299011,"Block Group 1, Census Tract 299.01, King County, Washington",677,99,542,83,135,88
1500000US530330299012,530330299012,"Block Group 2, Census Tract 299.01, King County, Washington",430,88,363,90,67,41
1500000US530330299013,530330299013,"Block Group 3, Census Tract 299.01, King County, Washington",604,73,375,80,229,88
1500000US530330299021,530330299021,"Block Group 1, Census Tract 299.02, King County, Washington",381,75,346,78,35,32
1500000US530330299022,530330299022,"Block Group 2, Census Tract 299.02, King County, Washington",422,72,347,80,75,54
1500000US530330299023,530330299023,"Block Group 3, Census Tract 299.02, King County, Washington",682,74,597,85,85,58
1500000US530330300031,530330300031,"Block Group 1, Census Tract 300.03, King County, Washington",465,140,332,109,133,115
1500000US530330300032,530330300032,"Block Group 2, Census Tract 300.03, King County, Washington",747,156,576,149,171,102
1500000US530330300033,530330300033,"Block Group 3, Census Tract 300.03, King County, Washington",217,76,165,65,52,43
1500000US530330300034,530330300034,"Block Group 4, Census Tract 300.03, King County, Washington",362,94,345,95,17,25
1500000US530330300035,530330300035,"Block Group 5, Census Tract 300.03, King County, Washington",345,111,48,53,297,120
1500000US530330300041,530330300041,"Block Group 1, Census Tract 300.04, King County, Washington",395,121,252,114,143,76
1500000US530330300042,530330300042,"Block Group 2, Census Tract 300.04, King County, Washington",840,213,45,33,795,205
1500000US530330300043,530330300043,"Block Group 3, Census Tract 300.04, King County, Washington",366,123,79,41,287,119
1500000US530330300044,530330300044,"Block Group 4, Census Tract 300.04, King County, Washington",341,88,304,83,37,36
1500000US530330300045,530330300045,"Block Group 5, Census Tract 300.04, King County, Washington",646,175,92,63,554,178
1500000US530330300046,530330300046,"Block Group 6, Census Tract 300.04, King County, Washington",374,135,169,87,205,107
1500000US530330300051,530330300051,"Block Group 1, Census Tract 300.05, King County, Washington",607,116,505,110,102,76
1500000US530330300052,530330300052,"Block Group 2, Census Tract 300.05, King County, Washington",528,94,431,98,97,72
1500000US530330300053,530330300053,"Block Group 3, Census Tract 300.05, King County, Washington",633,121,247,65,386,110
1500000US530330300061,530330300061,"Block Group 1, Census Tract 300.06, King County, Washington",668,107,260,72,408,124
1500000US530330300062,530330300062,"Block Group 2, Census Tract 300.06, King County, Washington",999,117,53,35,946,117
1500000US530330301001,530330301001,"Block Group 1, Census Tract 301, King County, Washington",305,58,276,63,29,36
1500000US530330301002,530330301002,"Block Group 2, Census Tract 301, King County, Washington",359,88,301,81,58,62
1500000US530330301003,530330301003,"Block Group 3, Census Tract 301, King County, Washington",608,112,566,114,42,36
1500000US530330301004,530330301004,"Block Group 4, Census Tract 301, King County, Washington",214,91,193,89,21,37
1500000US530330301005,530330301005,"Block Group 5, Census Tract 301, King County, Washington",284,113,40,34,244,113
1500000US530330301006,530330301006,"Block Group 6, Census Tract 301, King County, Washington",494,107,442,107,52,64
1500000US530330301007,530330301007,"Block Group 7, Census Tract 301, King County, Washington",453,142,373,94,80,107
