Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",29450,8113
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",43153,8878
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",50171,15075
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",47797,9562
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",51414,8237
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",66277,8487
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",85723,11817
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",27307,5842
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",48561,8102
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",35175,5095
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",48594,7158
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",58225,22007
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",42513,7082
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",26487,5909
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",26010,9570
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",25043,7077
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",49265,10078
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",41260,9780
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",40191,7963
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",25578,7324
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",41817,12454
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",35498,4990
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",47208,6934
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",51966,7783
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",60399,8238
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",73401,9146
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",54976,7927
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",42955,6755
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",42671,7976
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",47636,11539
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",53013,21110
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",35151,4167
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",48836,8870
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",36203,6007
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",45169,13798
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",44262,14981
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",40075,7631
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",34238,7941
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",40428,8844
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",56734,8011
