Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",92188,35009
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",107500,26094
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",65682,15324
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",68750,10965
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",79712,22644
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",84375,36258
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",65583,18138
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",40665,18516
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",26929,11195
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",40754,7597
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",35224,8822
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",50173,7509
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",61627,24524
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",47011,15868
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",70972,8659
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",71250,27016
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",60231,13892
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",104844,29970
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",96983,10582
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",103750,25952
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",88854,15902
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",99265,22421
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",70920,10328
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",63015,22010
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",82708,35618
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",82727,15330
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",57875,16700
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",65400,10863
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",64551,23098
